,0
0,0.767218626842
1,0.999521463453
2,0.948197955745
3,0.994587201379
4,0.83735510342
5,0.975550552138
6,0.201411737025
7,0.970320045629
8,0.0269878795638
9,0.999957794142
10,0.998512164492
11,0.097574998158
12,0.853713681278
13,0.99830832282
14,0.987148613233
15,0.0138015528385
16,0.716196900057
17,0.238408665782
18,0.349079334772
19,0.823272922967
20,0.880287278564
21,0.979799063331
22,0.995884971123
23,0.99555142651
24,0.978865018089
25,0.213867840208
26,0.956219213095
27,0.997341930231
28,0.434724133221
29,0.986327853086
30,0.998497671119
31,0.996565053095
32,0.0530066586031
33,0.978184463663
34,0.0495864361084
35,0.985015186047
36,0.990777275459
37,0.997512585513
38,0.202298683048
39,0.996221148822
40,0.989681908795
41,0.999961407918
42,0.999101765841
43,0.951379001363
44,0.994797556996
45,0.961098405398
46,0.964723700502
47,0.987467652747
48,0.997454726836
49,0.999692311502
50,0.968900846858
51,0.994935849744
52,0.985491086906
53,0.965003938151
54,0.991533337561
55,0.99804256028
56,0.990621516696
57,0.957596685241
58,0.0748622978861
59,0.995890334927
60,0.999617827888
61,0.0271187603123
62,0.938542843353
63,0.897038435401
64,0.999619132952
65,0.997326720677
66,0.998891012113
67,0.82555608963
68,0.973296343628
69,0.984653000037
70,0.987237426684
71,0.842707311955
72,0.999977164333
73,0.999803562401
74,0.99982864085
75,0.999323486402
76,0.977447994546
77,0.923815673598
78,0.988971805042
79,0.411752947912
80,0.996189520488
81,0.777451678006
82,0.994645536154
83,0.998723962298
84,0.489563412169
85,0.997078153431
86,0.990921140108
87,0.999825844
88,0.987442339218
89,0.999024950731
90,0.885655041848
91,0.99890730762
92,0.996978219487
93,0.0838453234701
94,0.99372111113
95,0.999602001685
96,0.883233167293
97,0.983176420287
98,0.105069297448
99,0.966777601612
100,0.989545317701
101,0.998946179467
102,0.999792862901
103,0.987804206369
104,0.889191928984
105,0.983966538846
106,0.671181541021
107,0.998832468602
108,0.995554279886
109,0.980404714906
110,0.993238992112
111,0.995973315821
112,0.989222729484
113,0.998232417253
114,0.131143733474
115,0.999516765892
116,0.989093419699
117,0.987440291834
118,0.998748911744
119,0.999477175419
120,0.999805433951
121,0.198138356425
122,0.970878434727
123,0.62483698848
124,0.981598496959
125,0.99938397016
126,0.839619890119
127,0.992341059334
128,0.968530246245
129,0.969026583004
130,0.000449551327718
131,0.994599517132
132,0.994470064638
133,0.141550882092
134,0.998398581608
135,0.819594766645
136,0.845876217446
137,0.989980527487
138,0.998471620785
139,0.851813468128
140,0.5365596841
141,0.999846586688
142,0.0242292627558
143,0.936901561328
144,0.997009408442
145,0.0190408999128
146,0.995505086829
147,0.997481285646
148,0.999501447484
149,0.996948278435
150,0.96293304545
151,0.999909138088
152,0.975416841168
153,0.998286214392
154,0.960572953686
155,0.994624155355
156,0.953223973119
157,0.995833733397
158,0.984107554005
159,0.992590922095
160,0.973961376533
161,0.999934094091
162,0.997069552639
163,0.99983277869
164,0.977757638622
165,0.995841847495
166,0.998755676494
167,0.989366488857
168,0.999722468214
169,0.998978438668
170,0.999410723787
171,0.00212987407403
172,0.999803249866
173,0.978677410429
174,0.405571331756
175,0.951652240685
176,0.995693818264
177,0.00802340873745
178,0.998727510003
179,0.990346373636
180,0.99029318315
181,0.990032521457
182,0.945211876084
183,0.992649967834
184,0.959526896746
185,0.998881406093
186,0.974929712689
187,0.992412296365
188,0.595930884484
189,0.982544673759
190,0.997613614188
191,0.0572691965295
192,0.998149206419
193,0.979752017484
194,0.997453411673
195,0.9655745884
196,0.655788871876
197,0.972611689476
198,0.998357237403
199,0.987848075646
200,0.757623069504
201,0.988176618001
202,0.99637674248
203,0.909308695662
204,0.952203736077
205,0.989760779818
206,0.998990807623
207,0.996841422425
208,0.951940552825
209,0.914753567315
210,0.968677053096
211,0.753043824271
212,0.999976751185
213,0.965684937312
214,0.999123743216
215,0.947286642031
216,0.982375713644
217,0.000958960610361
218,0.0636822213442
219,0.005874589553
